lon;lat;height;stn;time;Temperatur (°C);Niederschlag (mm);Sonnenschein (min);Globalstrahlung (w/m^2);Luftfeuchte (%);Taupunkt (°C);Windrichtung (°);Windgeschwindigkeit (km/h);Böenspitzen (km/h)
710517;259824;539;TAE;201903141300;3.5;0.4;0;95;88;1.7;220;24.8;46.1
714984;146451;575;COM;201903141300;10.5;0;0;260;32;-5.3;316;9.7;25.2
609350;149001;1322;ABO;201903141300;0.5;0;0;227;71;-4.1;233;30.2;56.5
560404;130713;381;AIG;201903141300;6.3;0;0;85;73;1.9;219;5.8;9
690180;193564;438;ALT;201903141300;5.7;0;0;74;70;0.6;289;2.9;7.2
760382;261386;398;ARH;201903141300;6.7;0;0;105;65;0.5;209;19.1;34.9
752691;164038;987;AND;201903141300;3.8;0;0;266;62;-2.8;356;11.2;17.3
687444;165044;1438;ANT;201903141300;-0.5;0;0;317;73;-4.7;272;7.9;16.9
771030;184825;1878;ARO;201903141300;-3.2;0;0;204;77;-6.7;61;4;10.8
756910;209350;496;RAG;201903141300;5.9;0;0;92;64;-0.3;140;15.5;25.6
606850;202975;941;BAN;201903141300;-;-;0;74;-;-;-;-;-
610908;265611;316;BAS;201903141300;6.6;0;0;65;75;2.5;230;27.7;44.6
777273;166618;1407;LAT;201903141300;1.6;0;-;-;52;-7.2;327;4.3;10.1
601933;204409;552;BER;201903141300;5;0;0;108;77;1.2;217;25.2;41
659812;267696;325;BEZ;201903141300;5.6;0.1;0;40;77;1.9;207;15.1;37.1
718550;132800;278;BIA;201903141300;12.9;0;0;284;32;-3.5;-;-;-
657996;135422;1479;BIN;201903141300;-0.3;0;-;-;70;-5;241;23;42.8
735325;262285;470;BIZ;201903141300;5.3;0;0;113;83;2.7;236;28.8;45.4
771281;148119;1856;BIV;201903141300;-1;0;-;-;51;-10;92;1.4;5
515887;153210;683;BIE;201903141300;1.8;0.3;0;67;95;1.1;224;20.9;32.8
629564;141084;1538;BLA;201903141300;-2.8;0.2;0;94;90;-4.2;37;4;7.9
595831;163587;820;BOL;201903141300;2.5;0;0;130;81;-0.4;242;22;37.1
555264;138175;374;BOU;201903141300;6.4;-;-;-;71;1.5;138;10.1;17.3
647552;176803;567;BRZ;201903141300;-;0;-;-;-;-;91;7.6;12.6
648395;248369;386;BUS;201903141300;3.8;0;0;48;89;2.2;248;16.2;32
816494;170225;1968;BUF;201903141300;-2.9;0;0;197;68;-7.9;298;11.9;23
534225;188081;1205;FRE;201903141300;-1.1;0.1;0;80;97;-1.5;207;18.7;31.7
689688;130565;417;CEV;201903141300;12.5;0;0;259;29;-5.1;41;9.7;20.9
677758;226878;442;CHZ;201903141300;5.9;0;0;90;72;1.3;230;24.8;48.2
570845;220157;1599;CHA;201903141300;-0.5;0.1;0;178;98;-0.8;226;53.3;70.6
565060;211006;1136;CHM;201903141300;-0.6;0.2;0;89;93;-1.5;235;30.6;58.7
759465;193152;556;CHU;201903141300;5.9;0;0;87;70;0.9;180;2.9;7.9
577040;147654;1028;CHD;201903141300;0.6;0.1;0;144;90;-0.8;269;7.2;14.4
704433;117457;1661;CIM;201903141300;1.9;0;0;366;49;-7.6;231;12.6;24.5
573817;137852;1412;CDM;201903141300;-1.9;0;-;-;91;-3.2;205;22.3;32
579192;79753;2472;GSB;201903141300;-6.3;0;0;401;86;-8.3;67;9;20.2
573622;225597;695;COY;201903141300;3.2;0.2;-;-;90;1.7;248;28.4;43.9
732820;189380;2480;CMA;201903141300;-8;-;0;299;98;-8.2;233;23.4;31.3
571162;210797;430;CRM;201903141300;4.1;0.2;0;59;99;4;239;38.9;64.1
783518;187458;1594;DAV;201903141300;-2.1;0;0;196;74;-6.2;143;9.7;15.8
593269;244543;439;DEM;201903141300;5.9;0.1;0;84;79;2.5;242;33.1;64.1
708190;173793;1197;DIS;201903141300;-0.2;0;0;201;86;-2.2;190;1.1;2.5
726347;237176;623;EBK;201903141300;3.4;0.3;0;77;82;0.7;121;2.5;6.8
650279;141897;2893;EGH;201903141300;-11.1;-;0;348;99;-11.3;265;24.5;37.4
642912;225540;521;EGO;201903141300;5.3;0;0;108;83;2.6;253;39.6;59
699982;221068;910;EIN;201903141300;1.6;0;0;83;91;0.3;217;22;37.4
732265;198425;957;ELM;201903141300;1.6;0;0;187;74;-2.5;0;1.1;4.3
674160;186069;1035;ENG;201903141300;3.2;0;0;146;60;-3.9;105;15.1;27
568197;114693;482;EVI;201903141300;6.5;0;0;131;67;0.9;335;12.2;21.2
605412;106748;1825;EVO;201903141300;-3.8;0;0;226;93;-4.7;283;2.2;4.7
562464;252675;596;FAH;201903141300;3.5;0.1;0;78;89;1.9;234;34.2;59.8
644332;193311;939;FLU;201903141300;1.9;0;-;-;81;-1.1;155;24.1;43.2
575183;180076;650;GRA;201903141300;3.6;0;0;104;88;1.8;212;38.5;61.2
616773;160884;756;FRU;201903141300;5.6;0;0;166;62;-1;235;20.2;36
498904;122631;410;GVE;201903141300;5.5;0.2;0;80;86;3.3;208;28.4;42.8
682509;205571;521;GES;201903141300;6.3;0;-;-;61;-0.6;329;11.2;39.6
657322;188976;471;GIH;201903141300;6.1;0;0;92;70;1.1;224;13.3;23.8
723755;210567;516;GLA;201903141300;6;0;0;94;67;0.4;94;6.8;9.7
626900;92512;3129;GOR;201903141300;-10.1;-;0;412;85;-12.2;127;12.6;21.2
598218;225349;427;GRE;201903141300;4;0.3;0;60;95;3.2;246;43.9;67.7
668583;158215;1980;GRH;201903141300;-5.3;0.1;0;342;89;-6.8;146;19.1;41
733016;124090;323;GRO;201903141300;13;0;0;331;26;-5.8;183;6.1;11.5
630738;116062;1605;GRC;201903141300;-3.2;0.1;0;173;100;-3.3;-;-;-
688477;171926;950;GOS;201903141300;0.9;0;-;-;89;-0.7;354;7.6;14.4
640421;245949;380;GOE;201903141300;3.9;0.1;0;59;86;1.8;239;30.6;50.8
690050;167475;2283;GUE;201903141300;-5.8;0;0;317;89;-7.3;203;26.3;37.4
738421;273962;440;GUT;201903141300;4.6;0.1;0;108;91;3.3;233;22.3;39.2
677456;283472;419;HLL;201903141300;4;0.4;0;60;90;2.5;226;26.3;39.6
713516;247756;1144;HOE;201903141300;-0.8;0.1;0;91;98;-1.1;251;54;79.2
735685;181965;698;ILZ;201903141300;4.5;0;0;172;68;-0.9;-;-;-
633023;169092;577;INT;201903141300;6.5;0;0;120;58;-1.3;220;16.6;29.2
641930;155275;3580;JUN;201903141300;-13.8;-;0;229;100;-13.8;325;60.5;94.3
612662;218664;485;KOP;201903141300;4.9;0;0;87;77;1.2;226;38.9;63.4
536981;203974;1050;BRL;201903141300;0.9;0;0;127;89;-0.7;233;32.8;52.9
550919;214861;1017;CDF;201903141300;1.2;0.1;0;125;90;-0.3;228;22.3;38.2
497060;142371;1669;DOL;201903141300;-3.3;0;0;150;100;-3.3;261;59;73.8
707637;226334;468;LAC;201903141300;4.9;0.4;-;-;80;1.8;-;-;-
628003;198793;743;LAG;201903141300;4.4;0;0;85;76;0.5;263;25.6;52.6
567718;155076;1974;MLS;201903141300;-5.3;0.1;0;208;73;-9.4;248;50.4;83.2
656373;272121;341;LEI;201903141300;5.3;0.4;0;37;81;2.3;234;26.6;45
586854;105302;2735;ATT;201903141300;-8.9;-;0;389;100;-8.9;241;27.7;55.8
513821;169387;1045;CHB;201903141300;0.3;0.1;-;-;96;-0.3;217;21.6;35.3
581914;130622;2964;DIA;201903141300;-10.9;-;0;369;100;-10.9;242;44.6;85
567375;107577;990;MAR;201903141300;3.4;0;-;-;63;-2.9;188;12.6;29.9
704172;114342;366;OTL;201903141300;12.1;0;0;357;30;-5;228;5;10.1
717873;95884;273;LUG;201903141300;13;0;0;437;36;-1.6;167;5.8;8.3
665543;209849;454;LUZ;201903141300;5.8;0;0;96;71;0.9;186;14;23.4
672250;259460;845;LAE;201903141300;0;-;0;41;100;0;200;41.4;63
715479;113161;203;MAG;201903141300;13.2;0;0;406;37;-1.1;272;11.2;19.8
571758;167316;714;MAS;201903141300;3.2;0.1;-;-;87;1.2;201;22.7;36.4
533458;176567;437;MAH;201903141300;4.4;0.2;0;64;97;4;209;33.8;46.4
714263;140943;2171;MTR;201903141300;-4.3;-;0;271;66;-9.7;214;4.3;12.6
655844;175930;588;MER;201903141300;3.5;0;0;110;87;1.6;106;10.8;15.5
583492;102189;839;MOB;201903141300;4.9;0;-;-;66;-0.9;334;3.2;9
601709;127488;1427;MVE;201903141300;-1.5;0;0;170;87;-3.3;256;10.8;22
722503;87456;1600;GEN;201903141300;2.5;0;4;453;42;-9.2;319;8.6;16.6
629149;89520;2885;MRP;201903141300;-;-;-;-;-;-;-;-;-
660127;232851;453;MOA;201903141300;6.2;0;0;90;76;2.2;217;17.6;44.6
614325;110730;1580;MTE;201903141300;-2.8;0;0;140;90;-4.2;357;10.4;16.2
633053;269147;343;MOE;201903141300;6;0;0;30;80;2.9;251;22.7;37.1
587792;202479;479;MUB;201903141300;5.1;0;0;100;81;2.1;255;14;42.5
588150;200125;775;MSK;201903141300;-;-;0;111;-;-;-;-;-
815374;188987;2380;NAS;201903141300;-7;-;0;311;81;-9.8;237;27.7;33.5
638136;206078;1403;NAP;201903141300;-1.7;0.1;0;102;98;-2;230;58.7;107.6
563086;205559;485;NEU;201903141300;3.5;0.3;0;45;90;2;242;37.1;62.3
506878;139572;455;CGI;201903141300;4.5;0.3;0;58;88;2.8;230;27.7;43.6
764170;249582;409;OBR;201903141300;5.7;0;-;-;72;1.1;210;24.5;40
688728;220956;724;AEG;201903141300;-;-;-;-;-;-;245;22.7;43.2
555505;158052;828;ORO;201903141300;2.4;0;0;78;88;0.5;210;33.5;54.4
798422;143020;2260;BEH;201903141300;-4.4;0;0;369;60;-11.1;201;3.2;6.5
562131;184611;490;PAY;201903141300;4.9;0.1;0;107;80;1.7;216;39.2;63.7
661904;203410;2106;PIL;201903141300;-5.3;0.4;-;171;100;-5.3;237;42.8;101.9
695880;152264;990;PIO;201903141300;5.6;0;0;189;47;-4.8;263;18.4;33.1
783150;143521;3302;COV;201903141300;-12.5;0;0;409;83;-14.8;285;34.9;54.7
760261;160570;2670;PMA;201903141300;-8.7;0;0;351;85;-10.8;206;17.3;26.6
586828;177406;1042;PLF;201903141300;1.4;0;0;134;80;-1.6;221;45.7;70.2
801992;136248;1078;ROB;201903141300;7;0;0;226;31;-8.9;218;10.8;17.3
540819;151510;455;PUY;201903141300;6.5;0;0;78;69;1.2;238;14.8;33.8
734848;221278;419;QUI;201903141300;-;-;-;-;-;-;328;2.9;6.5
682587;144091;1896;ROE;201903141300;-3.1;0;0;328;72;-7.5;317;2.2;3.6
633252;253845;611;RUE;201903141300;3.5;0;0;45;80;0.4;224;35.6;55.8
734115;147294;1638;SBE;201903141300;1.4;0;0;347;45;-9.2;111;9;20.5
719099;279047;718;HAI;201903141300;1;0.2;0;48;100;1;236;35.6;54.4
787249;155685;1708;SAM;201903141300;-0.4;0;0;320;53;-8.9;51;1.4;3.6
690999;215145;790;SAG;201903141300;3.7;0;-;-;72;-0.8;224;16.2;29.5
688702;282803;438;SHA;201903141300;3.5;0.6;0;50;88;1.7;232;34.9;60.8
769617;205125;626;SRS;201903141300;4;0;-;-;93;3;66;2.2;3.2
713725;231533;408;SCM;201903141300;-;-;-;-;-;-;252;25.2;33.5
643683;199710;744;SPF;201903141300;2.7;0.1;0;78;88;0.9;212;22.7;43.6
817137;186393;1303;SCU;201903141300;2.9;0;0;203;45;-7.9;254;12.2;22
778574;144976;1804;SIA;201903141300;-0.3;0;0;375;51;-9.3;249;17.3;25.2
647683;116340;1465;SIM;201903141300;-0.4;0;0;161;70;-5.2;311;34.9;68.8
591633;118583;482;SIO;201903141300;7.2;0;0;159;56;-0.9;311;4.3;7.2
523549;148525;425;PRE;201903141300;-;-;-;-;-;-;226;32.4;50.4
618695;269036;493;STC;201903141300;-;-;0;32;-;-;-;-;-
747865;254588;775;STG;201903141300;2.4;0;0;133;85;0.1;228;14.4;34.6
828861;165579;1386;SMM;201903141300;2.8;0;0;257;43;-8.5;266;9;17.3
716048;77973;353;SBO;201903141300;13.5;0;0;459;28;-4.8;219;5;16.2
715870;280916;397;STK;201903141300;-;-;-;-;-;-;227;37.1;56.5
744183;234918;2502;SAE;201903141300;-7.4;1.4;0;210;100;-7.4;255;75.6;124.9
611200;177640;570;THU;201903141300;5.9;0;0;117;67;0.3;144;19.1;26.6
675400;180400;3040;TIT;201903141300;-11.9;-;0;294;100;-11.9;256;50;79.2
679454;245034;854;UEB;201903141300;-;-;0;66;-;-;-;-;-
666747;150767;1345;ULR;201903141300;-1.3;0.1;0;143;91;-2.6;247;27.4;38.5
757722;221699;457;VAD;201903141300;6.2;0;0;67;65;0.1;146;6.1;12.2
761634;180385;1568;VAB;201903141300;-2.5;0;0;225;89;-4.1;350;8.6;12.6
734016;165551;1242;VLS;201903141300;0.7;0;-;-;77;-2.8;1;9.4;18.4
552106;146847;405;VEV;201903141300;6.8;0;0;53;67;1.2;216;9.7;22
768485;135866;1089;VIO;201903141300;6.9;0;0;313;28;-10.3;307;3.2;6.5
544198;163650;859;VIT;201903141300;1.5;0;-;-;99;1.4;218;38.2;65.2
631150;128024;639;VIS;201903141300;4.8;0;0;101;72;0.2;283;27.4;40.7
780614;189634;2691;WFJ;201903141300;-8.9;0.2;0;309;80;-11.7;193;18.4;26.6
626404;233848;422;WYN;201903141300;4.2;0.3;0;54;92;3;247;22.7;52.2
693847;230744;485;WAE;201903141300;5.6;0;0;81;69;0.4;239;15.5;45
659355;265380;334;PSI;201903141300;5.5;0;0;46;79;2.2;-;-;-
624298;97574;1638;ZER;201903141300;-2.5;0;0;163;86;-4.5;45;20.5;28.1
681432;253548;443;REH;201903141300;4.6;0;0;61;84;2.2;248;15.1;24.8
685116;248065;555;SMA;201903141300;4.1;0.1;0;80;85;1.8;220;25.2;49.7
682710;259338;426;KLO;201903141300;4.6;0.1;0;60;84;2.1;229;24.1;42.5
